time_step,method,task_id,position,urgency,duration
76,Greedy,E32,"(44, 26)",17,19.0
76,Greedy,E33,"(89, 55)",16,28.0
76,Greedy,E34,"(94, 21)",13,26.0
76,Greedy,E35,"(23, 49)",10,18.0
76,Greedy,E36,"(53, 60)",8,15.0
76,Greedy,E37,"(41, 43)",7,24.0
76,Greedy,E38,"(14, 12)",11,12.0
76,Greedy,E39,"(62, 47)",9,14.0
76,Greedy,E40,"(64, 42)",1,18.0
76,Auction,E17,"(92, 80)",53,22.0
76,Auction,E18,"(1, 27)",47,15.0
76,Auction,E19,"(41, 18)",50,24.0
76,Auction,E22,"(39, 92)",41,29.0
76,Auction,E23,"(12, 20)",39,15.0
76,Auction,E24,"(78, 42)",41,25.0
76,Auction,E25,"(33, 41)",32,17.0
76,Auction,E26,"(73, 66)",28,12.0
76,Auction,E27,"(0, 68)",36,24.0
76,Auction,E28,"(61, 14)",23,10.0
76,Auction,E29,"(73, 21)",28,18.0
76,Auction,E30,"(95, 1)",23,18.0
76,Auction,E31,"(7, 23)",15,13.0
76,Auction,E32,"(44, 26)",17,19.0
76,Auction,E33,"(89, 55)",16,28.0
76,Auction,E34,"(94, 21)",13,26.0
76,Auction,E35,"(23, 49)",10,18.0
76,Auction,E36,"(53, 60)",8,15.0
76,Auction,E37,"(41, 43)",7,24.0
76,Auction,E39,"(62, 47)",9,14.0
76,Auction,E40,"(64, 42)",1,18.0
76,Q-Learning,E14,"(46, 39)",59,27.0
76,Q-Learning,E17,"(92, 80)",53,22.0
76,Q-Learning,E18,"(1, 27)",47,15.0
76,Q-Learning,E19,"(41, 18)",50,24.0
76,Q-Learning,E20,"(29, 80)",49,13.0
76,Q-Learning,E22,"(39, 92)",41,29.0
76,Q-Learning,E23,"(12, 20)",39,15.0
76,Q-Learning,E25,"(33, 41)",32,17.0
76,Q-Learning,E26,"(73, 66)",28,12.0
76,Q-Learning,E27,"(0, 68)",36,24.0
76,Q-Learning,E28,"(61, 14)",23,10.0
76,Q-Learning,E29,"(73, 21)",28,18.0
76,Q-Learning,E30,"(95, 1)",23,18.0
76,Q-Learning,E31,"(7, 23)",15,13.0
76,Q-Learning,E33,"(89, 55)",16,28.0
76,Q-Learning,E34,"(94, 21)",13,26.0
76,Q-Learning,E35,"(23, 49)",10,18.0
76,Q-Learning,E36,"(53, 60)",8,15.0
76,Q-Learning,E37,"(41, 43)",7,24.0
76,Q-Learning,E38,"(14, 12)",11,12.0
76,Q-Learning,E39,"(62, 47)",9,14.0
76,Q-Learning,E40,"(64, 42)",1,18.0
77,Greedy,E16,"(25, 53)",53,19.0
77,Greedy,E18,"(1, 27)",48,15.0
77,Greedy,E19,"(41, 18)",51,24.0
77,Greedy,E22,"(39, 92)",42,29.0
77,Greedy,E23,"(12, 20)",40,15.0
77,Greedy,E24,"(78, 42)",42,25.0
77,Greedy,E25,"(33, 41)",33,17.0
77,Greedy,E26,"(73, 66)",29,12.0
77,Greedy,E27,"(0, 68)",37,24.0
77,Greedy,E28,"(61, 14)",24,10.0
77,Greedy,E29,"(73, 21)",29,18.0
77,Greedy,E30,"(95, 1)",24,18.0
77,Greedy,E31,"(7, 23)",16,13.0
77,Greedy,E32,"(44, 26)",18,19.0
77,Greedy,E33,"(89, 55)",17,28.0
77,Greedy,E34,"(94, 21)",14,26.0
77,Greedy,E35,"(23, 49)",11,18.0
77,Greedy,E36,"(53, 60)",9,15.0
77,Greedy,E37,"(41, 43)",8,24.0
77,Greedy,E38,"(14, 12)",12,12.0
77,Greedy,E39,"(62, 47)",10,14.0
77,Greedy,E40,"(64, 42)",2,18.0
77,Greedy,E41,"(33, 98)",2,12.0
77,Auction,E17,"(92, 80)",54,22.0
77,Auction,E18,"(1, 27)",48,15.0
77,Auction,E19,"(41, 18)",51,24.0
77,Auction,E22,"(39, 92)",42,29.0
77,Auction,E23,"(12, 20)",40,15.0
77,Auction,E24,"(78, 42)",42,25.0
77,Auction,E25,"(33, 41)",33,17.0
77,Auction,E26,"(73, 66)",29,12.0
77,Auction,E27,"(0, 68)",37,24.0
77,Auction,E28,"(61, 14)",24,10.0
77,Auction,E29,"(73, 21)",29,18.0
77,Auction,E30,"(95, 1)",24,18.0
77,Auction,E31,"(7, 23)",16,13.0
77,Auction,E32,"(44, 26)",18,19.0
77,Auction,E33,"(89, 55)",17,28.0
77,Auction,E34,"(94, 21)",14,26.0
77,Auction,E35,"(23, 49)",11,18.0
77,Auction,E36,"(53, 60)",9,15.0
77,Auction,E37,"(41, 43)",8,24.0
77,Auction,E39,"(62, 47)",10,14.0
77,Auction,E40,"(64, 42)",2,18.0
77,Q-Learning,E14,"(46, 39)",60,27.0
77,Q-Learning,E17,"(92, 80)",54,22.0
77,Q-Learning,E18,"(1, 27)",48,15.0
77,Q-Learning,E19,"(41, 18)",51,24.0
77,Q-Learning,E20,"(29, 80)",50,13.0
77,Q-Learning,E22,"(39, 92)",42,29.0
77,Q-Learning,E23,"(12, 20)",40,15.0
77,Q-Learning,E25,"(33, 41)",33,17.0
77,Q-Learning,E26,"(73, 66)",29,12.0
77,Q-Learning,E27,"(0, 68)",37,24.0
