time_step,method,task_id,position,urgency,duration
22,Greedy,D12,"(36, 12)",3,24.0
22,Greedy,D13,"(92, 61)",8,13.0
22,Auction,D6,"(23, 13)",18,19.0
22,Auction,D7,"(42, 54)",9,13.0
22,Auction,D8,"(55, 45)",8,24.0
22,Auction,D9,"(45, 44)",13,11.0
22,Auction,D10,"(62, 16)",5,25.0
22,Auction,D11,"(98, 82)",12,11.0
22,Auction,D12,"(36, 12)",3,24.0
22,Auction,D13,"(92, 61)",8,13.0
22,Q-Learning,D1,"(26, 1)",23,21.0
22,Q-Learning,D2,"(34, 16)",20,16.0
22,Q-Learning,D6,"(23, 13)",18,19.0
22,Q-Learning,D7,"(42, 54)",9,13.0
22,Q-Learning,D9,"(45, 44)",13,11.0
22,Q-Learning,D10,"(62, 16)",5,25.0
22,Q-Learning,D11,"(98, 82)",12,11.0
22,Q-Learning,D12,"(36, 12)",3,24.0
23,Greedy,D6,"(23, 13)",19,19.0
23,Greedy,D7,"(42, 54)",10,13.0
23,Greedy,D8,"(55, 45)",9,24.0
23,Greedy,D9,"(45, 44)",14,11.0
23,Greedy,D10,"(62, 16)",6,25.0
23,Greedy,D11,"(98, 82)",13,11.0
23,Greedy,D12,"(36, 12)",4,24.0
23,Greedy,D13,"(92, 61)",9,13.0
23,Auction,D6,"(23, 13)",19,19.0
23,Auction,D7,"(42, 54)",10,13.0
23,Auction,D8,"(55, 45)",9,24.0
23,Auction,D9,"(45, 44)",14,11.0
23,Auction,D10,"(62, 16)",6,25.0
23,Auction,D11,"(98, 82)",13,11.0
23,Auction,D12,"(36, 12)",4,24.0
23,Auction,D13,"(92, 61)",9,13.0
23,Q-Learning,D1,"(26, 1)",24,21.0
23,Q-Learning,D2,"(34, 16)",21,16.0
23,Q-Learning,D6,"(23, 13)",19,19.0
23,Q-Learning,D7,"(42, 54)",10,13.0
23,Q-Learning,D9,"(45, 44)",14,11.0
23,Q-Learning,D10,"(62, 16)",6,25.0
23,Q-Learning,D11,"(98, 82)",13,11.0
23,Q-Learning,D12,"(36, 12)",4,24.0
24,Greedy,D6,"(23, 13)",20,19.0
24,Greedy,D7,"(42, 54)",11,13.0
24,Greedy,D8,"(55, 45)",10,24.0
24,Greedy,D9,"(45, 44)",15,11.0
24,Greedy,D10,"(62, 16)",7,25.0
24,Greedy,D11,"(98, 82)",14,11.0
24,Greedy,D12,"(36, 12)",5,24.0
24,Greedy,D13,"(92, 61)",10,13.0
24,Greedy,D14,"(87, 78)",8,14.0
24,Auction,D6,"(23, 13)",20,19.0
24,Auction,D7,"(42, 54)",11,13.0
24,Auction,D8,"(55, 45)",10,24.0
24,Auction,D9,"(45, 44)",15,11.0
24,Auction,D10,"(62, 16)",7,25.0
24,Auction,D11,"(98, 82)",14,11.0
24,Auction,D12,"(36, 12)",5,24.0
24,Auction,D13,"(92, 61)",10,13.0
24,Auction,D14,"(87, 78)",8,14.0
24,Q-Learning,D1,"(26, 1)",25,21.0
24,Q-Learning,D2,"(34, 16)",22,16.0
24,Q-Learning,D6,"(23, 13)",20,19.0
24,Q-Learning,D7,"(42, 54)",11,13.0
24,Q-Learning,D9,"(45, 44)",15,11.0
24,Q-Learning,D10,"(62, 16)",7,25.0
24,Q-Learning,D11,"(98, 82)",14,11.0
24,Q-Learning,D12,"(36, 12)",5,24.0
